taxa	d0_in	d0_5_up
G_Pseudomonas	TRUE	TRUE
S_Cutibacterium_acnes	TRUE	FALSE
G_Janthinobacterium	TRUE	TRUE
F_Comamonadaceae	TRUE	TRUE
G_Flavobacterium	TRUE	FALSE
S_Ralstonia_syzygii	TRUE	TRUE
S_Stenotrophomonas_maltophilia	TRUE	FALSE
F_Micrococcaceae	TRUE	FALSE
S_Undibacterium_oligocarboniphilum	TRUE	TRUE
G_Methylobacterium	TRUE	FALSE
S_Lactobacillus_iners	FALSE	FALSE
S_Lactobacillus_gasseri	FALSE	FALSE
G_Anaerococcus	FALSE	FALSE
G_Neisseria	FALSE	FALSE
G_Lactobacillus	FALSE	FALSE
S_Bacteroides_fragilis	FALSE	FALSE
S_Faecalibacterium_prausnitzii	FALSE	FALSE
G_Staphylococcus	FALSE	FALSE
S_Akkermansia_muciniphila	FALSE	FALSE
S_Lawsonella_clevelandensis	FALSE	FALSE
S_Veillonella_dispar	FALSE	FALSE
S_Phocaeicola_vulgatus	FALSE	FALSE
S_Corynebacterium_tuberculostearicum	FALSE	FALSE
C_Gammaproteobacteria	FALSE	FALSE
O_Eubacteriales	FALSE	FALSE
P_Proteobacteria	FALSE	FALSE
G_Blautia	FALSE	FALSE
S_Prevotella_copri	FALSE	FALSE
G_Escherichia	FALSE	FALSE
S_Fusobacterium_nucleatum	FALSE	FALSE
S_Brevundimonas_diminuta	FALSE	FALSE
G_Psychrobacter	FALSE	FALSE
G_Myroides	FALSE	FALSE
S_Streptococcus_anginosus	FALSE	FALSE
S_Streptococcus_parasanguinis	FALSE	FALSE
S_Myroides_guanonis	FALSE	FALSE
F_Erwiniaceae	FALSE	FALSE
G_Pedobacter	FALSE	FALSE
G_Kocuria	FALSE	FALSE
S_Phytoactinopolyspora_alkaliphila	FALSE	FALSE
S_Egicoccus_halophilus	FALSE	FALSE
S_Nocardiopsis_exhalans	FALSE	FALSE
S_Pseudomonas_batumici	FALSE	FALSE
F_Planococcaceae	FALSE	FALSE
S_Haemophilus_parainfluenzae	FALSE	FALSE
S_Morganella_psychrotolerans	FALSE	FALSE
G_Rheinheimera	FALSE	FALSE
S_Devosia_riboflavina	FALSE	FALSE
S_Brevundimonas_bullata	FALSE	FALSE
O_Hyphomicrobiales	FALSE	FALSE
S_Cloacibacterium_rupense	FALSE	FALSE
G_Arthrobacter	FALSE	FALSE
G_Corynebacterium	FALSE	FALSE
G_Sphingobium	FALSE	FALSE
O_Flavobacteriales	FALSE	FALSE
G_Dongia	FALSE	FALSE
C_Actinomycetia	FALSE	FALSE
G_Comamonas	FALSE	FALSE
G_Prevotella	FALSE	FALSE
G_Massilia	FALSE	FALSE
G_Nesterenkonia	FALSE	FALSE
S_Blastococcus_endophyticus	FALSE	FALSE
G_Roseivirga	FALSE	FALSE
C_Cyanobacteria	FALSE	FALSE
S_Pseudokineococcus_lusitanus	FALSE	FALSE
S_Truepera_radiovictrix	FALSE	FALSE
G_Brevundimonas	FALSE	FALSE
G_Amycolatopsis	FALSE	FALSE
G_Nocardiopsis	FALSE	FALSE
O_Burkholderiales	FALSE	FALSE
S_Roseomonas_aerofrigidensis	FALSE	FALSE
S_Capnocytophaga_leadbetteri	FALSE	FALSE
S_Actinomarinicola_tropica	FALSE	FALSE
S_Stomatobaculum_longum	FALSE	FALSE
G_Streptococcus	FALSE	FALSE
S_Haematobacter_massiliensis	FALSE	FALSE
F_Enterobacteriaceae	FALSE	FALSE
G_Cupriavidus	FALSE	FALSE
P_Actinobacteria	FALSE	FALSE
S_Myroides_injenensis	FALSE	FALSE
S_Devosia_neptuniae	FALSE	FALSE
