sample_id	in_paper_or_only_decontamination	ntc_check	decontamination_batch	dataset	dilution_series	dilution_detail
sample1	only_decontam	-	batch_1	-	-	-
sample2	only_decontam	-	batch_1	-	-	-
sample3	only_decontam	-	batch_1	-	-	-
sample4	only_decontam	-	batch_1	-	-	-
sample5	only_decontam	-	batch_1	-	-	-
sample6	only_decontam	-	batch_1	-	-	-
sample7	only_decontam	-	batch_1	-	-	-
sample8	only_decontam	-	batch_1	-	-	-
sample9	paper	-	batch_1	dataset_1	d0	dataset_1-raw
sample10	paper	-	batch_1	dataset_1	d1	dataset_1-1/1000
sample11	paper	-	batch_1	dataset_1	d2	dataset_1-1/2000
sample12	paper	-	batch_1	dataset_1	d3	dataset_1-1/4000
sample13	paper	-	batch_1	dataset_1	d4	dataset_1-1/8000
sample14	paper	-	batch_1	dataset_1	d5	dataset_1-1/16000
sample15	paper	-	batch_1	dataset_1	d6	dataset_1-1/32000
sample16	paper	-	batch_1	dataset_1	d7	dataset_1-1/64000
sample17	paper	ntc	batch_1	dataset_1	-	-
sample18	only_decontam	-	batch_2	-	-	-
sample19	only_decontam	-	batch_2	-	-	-
sample20	only_decontam	-	batch_2	-	-	-
sample21	only_decontam	-	batch_2	-	-	-
sample22	only_decontam	-	batch_2	-	-	-
sample23	only_decontam	-	batch_2	-	-	-
sample24	only_decontam	-	batch_2	-	-	-
sample25	only_decontam	-	batch_2	-	-	-
sample26	only_decontam	-	batch_2	-	-	-
sample27	only_decontam	-	batch_2	-	-	-
sample28	only_decontam	-	batch_2	-	-	-
sample29	only_decontam	-	batch_2	-	-	-
sample30	paper	-	batch_2	dataset_2	d0	dataset_2-raw
sample31	paper	-	batch_2	dataset_2	d1	dataset_2-1/1000
sample32	paper	-	batch_2	dataset_2	d2	dataset_2-1/2000
sample33	paper	-	batch_2	dataset_2	d3	dataset_2-1/4000
sample34	paper	-	batch_2	dataset_2	d4	dataset_2-1/8000
sample35	paper	-	batch_2	dataset_2	d5	dataset_2-1/16000
sample36	paper	-	batch_2	dataset_2	d6	dataset_2-1/32000
sample37	paper	-	batch_2	dataset_2	d7	dataset_2-1/64000
sample38	paper	-	batch_2	dataset_3	d0	dataset_3-raw
sample39	paper	-	batch_2	dataset_3	d1	dataset_3-1/1000
sample40	paper	-	batch_2	dataset_3	d2	dataset_3-1/2000
sample41	paper	-	batch_2	dataset_3	d3	dataset_3-1/4000
sample42	paper	-	batch_2	dataset_3	d4	dataset_3-1/8000
sample43	paper	-	batch_2	dataset_3	d5	dataset_3-1/16000
sample44	paper	-	batch_2	dataset_3	d6	dataset_3-1/32000
sample45	paper	-	batch_2	dataset_3	d7	dataset_3-1/64000
sample46	paper	ntc	batch_2	dataset_2, dataset_3	-	-
sample47	only_decontam	-	batch_3	-	-	-
sample48	only_decontam	-	batch_3	-	-	-
sample49	only_decontam	-	batch_3	-	-	-
sample50	only_decontam	-	batch_3	-	-	-
sample51	only_decontam	-	batch_3	-	-	-
sample52	only_decontam	-	batch_3	-	-	-
sample53	only_decontam	-	batch_3	-	-	-
sample54	only_decontam	-	batch_3	-	-	-
sample55	only_decontam	-	batch_3	-	-	-
sample56	only_decontam	-	batch_3	-	-	-
sample57	only_decontam	-	batch_3	-	-	-
sample58	only_decontam	-	batch_3	-	-	-
sample59	only_decontam	-	batch_3	-	-	-
sample60	only_decontam	-	batch_3	-	-	-
sample61	only_decontam	-	batch_3	-	-	-
sample62	only_decontam	-	batch_3	-	-	-
sample63	only_decontam	-	batch_3	-	-	-
sample64	only_decontam	-	batch_3	-	-	-
sample65	only_decontam	-	batch_3	-	-	-
sample66	only_decontam	-	batch_3	-	-	-
sample67	only_decontam	-	batch_3	-	-	-
sample68	only_decontam	-	batch_3	-	-	-
sample69	paper	-	batch_3	dataset_4	d0	dataset_4-raw
sample70	paper	-	batch_3	dataset_4	d1	dataset_4-1/1000
sample71	paper	-	batch_3	dataset_4	d2	dataset_4-1/2000
sample72	paper	-	batch_3	dataset_4	d3	dataset_4-1/4000
sample73	paper	-	batch_3	dataset_4	d4	dataset_4-1/8000
sample74	paper	-	batch_3	dataset_4	d5	dataset_4-1/16000
sample75	paper	-	batch_3	dataset_4	d6	dataset_4-1/32000
sample76	paper	-	batch_3	dataset_4	d7	dataset_4-1/64000
sample77	paper	-	batch_3	dataset_5	d0	dataset_5-raw
sample78	paper	-	batch_3	dataset_5	d1	dataset_5-1/1000
sample79	paper	-	batch_3	dataset_5	d2	dataset_5-1/2000
sample80	paper	-	batch_3	dataset_5	d3	dataset_5-1/4000
sample81	paper	-	batch_3	dataset_5	d4	dataset_5-1/8000
sample82	paper	-	batch_3	dataset_5	d5	dataset_5-1/16000
sample83	paper	-	batch_3	dataset_5	d6	dataset_5-1/32000
sample84	paper	-	batch_3	dataset_5	d7	dataset_5-1/64000
sample85	paper	ntc	batch_3	dataset_4, dataset_5	-	-
sample86	only_decontam	-	batch_4	-	-	-
sample87	only_decontam	-	batch_4	-	-	-
sample88	only_decontam	-	batch_4	-	-	-
sample89	only_decontam	-	batch_4	-	-	-
sample90	only_decontam	-	batch_4	-	-	-
sample91	only_decontam	-	batch_4	-	-	-
sample92	only_decontam	-	batch_4	-	-	-
sample93	only_decontam	-	batch_4	-	-	-
