#SampleID	dataset	dilution_series
sample10	dataset_1	d1
sample11	dataset_1	d2
sample12	dataset_1	d3
sample13	dataset_1	d4
sample14	dataset_1	d5
sample15	dataset_1	d6
sample16	dataset_1	d7
sample31	dataset_2	d1
sample32	dataset_2	d2
sample33	dataset_2	d3
sample34	dataset_2	d4
sample35	dataset_2	d5
sample36	dataset_2	d6
sample37	dataset_2	d7
sample39	dataset_3	d1
sample40	dataset_3	d2
sample41	dataset_3	d3
sample42	dataset_3	d4
sample43	dataset_3	d5
sample44	dataset_3	d6
sample45	dataset_3	d7
sample70	dataset_4	d1
sample71	dataset_4	d2
sample72	dataset_4	d3
sample73	dataset_4	d4
sample74	dataset_4	d5
sample75	dataset_4	d6
sample76	dataset_4	d7
sample78	dataset_5	d1
sample79	dataset_5	d2
sample80	dataset_5	d3
sample81	dataset_5	d4
sample82	dataset_5	d5
sample83	dataset_5	d6
sample84	dataset_5	d7
sample107	dataset_6	d1
sample108	dataset_6	d2
sample109	dataset_6	d3
sample110	dataset_6	d4
sample111	dataset_6	d5
sample112	dataset_6	d6
sample113	dataset_6	d7
sample115	dataset_7	d1
sample116	dataset_7	d2
sample117	dataset_7	d3
sample118	dataset_7	d4
sample119	dataset_7	d5
sample120	dataset_7	d6
sample121	dataset_7	d7
sample132	dataset_8	d1
sample133	dataset_8	d2
sample134	dataset_8	d3
sample135	dataset_8	d4
sample136	dataset_8	d5
sample137	dataset_8	d6
sample138	dataset_8	d7
sample140	dataset_9	d1
sample141	dataset_9	d2
sample142	dataset_9	d3
sample143	dataset_9	d4
sample144	dataset_9	d5
sample145	dataset_9	d6
sample146	dataset_9	d7
sample168	dataset_10	d1
sample169	dataset_10	d2
sample170	dataset_10	d3
sample171	dataset_10	d4
sample172	dataset_10	d5
sample173	dataset_10	d6
sample174	dataset_10	d7
