taxa	color
S_Lactobacillus_iners	#F6222E
S_Lactobacillus_jensenii	#FE00FA
G_Lactobacillus	#16FF32
S_Streptococcus_agalactiae	#3283FE
G_Aerococcus	#FEAF16
S_Ureaplasma_parvum	#B00068
S_Prevotella_bivia	#1CFFCE
O_Eubacteriales	#90AD1C
S_Prevotella_buccalis	#2ED9FF
G_Gardnerella	#DEA0FD
G_Megasphaera	#AA0DFE
S_Fannyhessea_vaginae	#F8A19F
S_Prevotella_amnii	#325A9B
S_Prevotella_colorans	#C4451C
S_Gardnerella_vaginalis	#1C8356
G_Haemophilus	#85660D
S_Streptococcus_anginosus	#B10DA1
G_Dialister	#FBE426
S_Alloscardovia_omnicolens	#1CBE4F
S_Porphyromonas_asaccharolytica	#FA0087
S_Peptostreptococcus_anaerobius	#FC1CBF
S_Anaerococcus_prevotii	#F7E1A0
S_Prevotella_disiens	#C075A6
